pair_id,rank,cx,cy,gterr,corr_score,psr,context_combined,grad_ncc,phase_penalty,neigh_cons,family,dist_to_center,v25
v00060,3,355.0,421.0,60.48446947070387,0.5227590799331665,0.0,0.5702118502396966,0.2929428815841675,0.05,0.4960418939590454,175,165.12419568312816,0.8043138202288881
v00060,4,491.0,430.0,196.78193684836052,0.48106512427330017,0.0,0.48217700902685146,0.279556542634964,0.05,0.41875433921813965,175,70.57619995437555,0.7921528536416851
v00060,5,565.0,435.0,270.9506175478912,0.5797322988510132,0.0,0.5895252392005788,0.36106666922569275,0.05,0.5310527235269547,175,91.92388155425118,0.747454551348015
v00060,6,553.0,434.0,258.91076418843676,0.5694056153297424,0.0,0.5794618618783038,0.35083264112472534,0.05,0.5461097359657288,175,84.64632301523794,0.7413876283617022
v00060,7,528.0,433.0,233.89996477795245,0.5551823973655701,0.0,0.5749786011490279,0.3559326231479645,0.05,0.5151900351047516,175,72.61542535852834,0.7260815906566975
v00060,8,504.0,431.0,209.81965315298945,0.4976375997066498,0.0,0.5237491343289891,0.35414940118789673,0.05,0.4652726948261261,175,69.1158447825099,0.6306900239054424
v00060,9,404.0,424.0,109.57585505279903,0.5105504989624023,0.0,0.577101986568624,0.26971253752708435,0.05,0.48152777552604675,175,122.44182292011173,0.5936848440905863
v00060,10,379.0,423.0,84.56522761182107,0.5645621418952942,0.0,0.5794801908093795,0.2958461344242096,0.05,0.5440059304237366,175,143.42245291445826,0.5891782186967116
v00060,11,516.0,432.0,221.85973088008578,0.5042582154273987,0.0,0.5516949332137993,0.34718820452690125,0.05,0.5007675886154175,175,69.85699678629192,0.5841392356161673
v00060,12,589.0,437.0,295.03075064045476,0.4594590663909912,0.0,0.5357749890140165,0.265131413936615,0.05,0.45117315649986267,175,109.04127658827184,0.46444010092067656
v00060,13,457.0,603.0,246.8958490430388,0.5515632033348083,0.0,0.6163910102064085,0.18298031389713287,0.05,0.18759356439113617,175,111.61541112229978,0.4632158518732553
v00060,14,540.0,434.0,245.94033191014174,0.5798592567443848,0.0,0.5793931332271195,0.35659515857696533,0.08106601717798213,0.5327644944190979,175,77.17512552629896,0.3772018707297809
v00060,15,367.0,422.0,72.52464673540855,0.5695415139198303,0.0,0.586091040188945,0.30660444498062134,0.09358541225631423,0.5255628824234009,175,154.18495387034366,0.1913750300364063
v00060,16,545.0,609.0,315.50519136208914,0.4571976363658905,0.0,0.4670679698397514,0.12652723491191864,0.05,0.44302986562252045,175,117.92370414806346,0.18907575321675812
v00060,17,319.0,419.0,24.434202733088078,0.46619918942451477,0.0,0.4748196389659983,0.3284967839717865,0.05,0.4163111001253128,175,198.29775591266787,0.15963549364826116
v00060,18,630.0,614.0,388.9387657765408,0.5602564811706543,0.0,0.6386076676283496,0.2668111026287079,0.05,0.16860416531562805,175,172.90459797240788,0.12835602585027958
v00060,19,343.0,420.0,48.44499675104964,0.45946070551872253,0.0,0.5401719025716029,0.28677526116371155,0.05,0.4725693464279175,175,176.207264322445,0.09811171765352092
v00060,20,331.0,419.0,36.406927544986715,0.4531007707118988,0.0,0.5002878249538063,0.29046526551246643,0.05,0.4467746317386627,175,187.40864441108366,0.07401749333000733
v00061,1,519.0,665.0,0.9126105463625825,0.9708679914474487,0.0,0.9642703866713558,0.9104365706443787,0.0,0.6215803623199463,181,166.0903368652132,0.9928162371534327
v00061,2,521.0,629.0,35.271683772403854,0.7628921866416931,0.0,0.7922342461734593,0.3834690749645233,0.05,0.678144782781601,181,130.6981254647518,0.9153172032163536
