pair_id,variant,gt_rank,latency_sec
pair_047,R0,1,0.025308609008789062
pair_047,R1,1,0.07471251487731934
pair_047,R2,1,0.11224961280822754
pair_047,R3,1,0.06435823440551758
pair_048,R0,4,0.025232791900634766
pair_048,R1,4,0.06360387802124023
pair_048,R2,4,0.06651639938354492
pair_048,R3,10,0.05324959754943848
pair_049,R0,1,0.02427196502685547
pair_049,R1,1,0.05745983123779297
pair_049,R2,1,0.0550389289855957
pair_049,R3,1,0.055965423583984375
pair_050,R0,2,0.029320478439331055
pair_050,R1,2,0.07281613349914551
pair_050,R2,2,0.07110071182250977
pair_050,R3,3,0.1027381420135498
pair_051,R0,2,0.03128361701965332
pair_051,R1,2,0.07012224197387695
pair_051,R2,2,0.08367276191711426
pair_051,R3,2,0.05319952964782715
pair_052,R0,2,0.020816802978515625
pair_052,R1,2,0.05130600929260254
pair_052,R2,2,0.0503385066986084
pair_052,R3,13,0.04959893226623535
pair_053,R0,1,0.08970212936401367
pair_053,R1,1,0.16375136375427246
pair_053,R2,1,0.28532838821411133
pair_053,R3,1,0.1311943531036377
pair_054,R0,1,0.02546381950378418
pair_054,R1,1,0.061019182205200195
pair_054,R2,1,0.07395100593566895
pair_054,R3,5,0.06502175331115723
pair_055,R0,1,0.03147292137145996
pair_055,R1,1,0.08347702026367188
pair_055,R2,1,0.07694149017333984
pair_055,R3,1,0.06435370445251465
pair_056,R0,3,0.05557680130004883
pair_056,R1,3,0.10227370262145996
pair_056,R2,33,0.13409209251403809
pair_056,R3,38,0.11331510543823242
pair_057,R0,1,0.037863731384277344
pair_057,R1,1,0.08459210395812988
pair_057,R2,1,0.06923341751098633
pair_057,R3,1,0.07002019882202148
pair_058,R0,4,0.09466719627380371
pair_058,R1,6,0.249861478805542
pair_058,R2,12,0.13862991333007812
pair_058,R3,14,0.07040786743164062
pair_059,R0,1,0.030647993087768555
pair_059,R1,1,0.10215592384338379
pair_059,R2,1,0.05628204345703125
pair_059,R3,1,0.05331921577453613
pair_060,R0,2,0.04217982292175293
pair_060,R1,2,0.07754802703857422
pair_060,R2,9,0.06076955795288086
pair_060,R3,9,0.052661895751953125
pair_061,R0,3,0.02235102653503418
pair_061,R1,3,0.05285930633544922
pair_061,R2,3,0.0580286979675293
pair_061,R3,42,0.05456089973449707
pair_062,R0,9,0.026810884475708008
pair_062,R1,9,0.06917357444763184
pair_062,R2,24,0.054201602935791016
pair_062,R3,24,0.06261992454528809
pair_063,R0,3,0.025601863861083984
pair_063,R1,3,0.05708789825439453
pair_063,R2,7,0.0599515438079834
pair_063,R3,7,0.07602596282958984
pair_064,R0,5,0.0219881534576416
pair_064,R1,5,0.0630183219909668
pair_064,R2,5,0.06205439567565918
pair_064,R3,15,0.05895519256591797
pair_065,R0,8,0.02349400520324707
pair_065,R1,8,0.054289817810058594
pair_065,R2,1,0.06389546394348145
pair_065,R3,1,0.06842541694641113
pair_066,R0,1,0.03760242462158203
pair_066,R1,1,0.0567479133605957
pair_066,R2,1,0.05867123603820801
pair_066,R3,25,0.05979776382446289
pair_067,R0,4,0.026729106903076172
pair_067,R1,4,0.05918574333190918
pair_067,R2,22,0.060563087463378906
pair_067,R3,22,0.05353593826293945
pair_068,R0,10,0.05363917350769043
pair_068,R1,20,0.08498096466064453
pair_068,R2,20,0.08212161064147949
pair_068,R3,37,0.1068727970123291
pair_069,R0,1,0.057801246643066406
pair_069,R1,1,0.10753273963928223
pair_069,R2,3,0.08258676528930664
pair_069,R3,3,0.11745309829711914
pair_070,R0,5,0.035489559173583984
pair_070,R1,5,0.0691530704498291
pair_070,R2,5,0.06123971939086914
pair_070,R3,46,0.06135749816894531
pair_071,R0,1,0.03402519226074219
pair_071,R1,1,0.08017182350158691
pair_071,R2,14,0.06340622901916504
pair_071,R3,14,0.07784318923950195
pair_072,R0,8,0.02901935577392578
pair_072,R1,8,0.06590914726257324
pair_072,R2,8,0.0646047592163086
pair_072,R3,26,0.06338095664978027
pair_073,R0,8,0.024677276611328125
pair_073,R1,8,0.060314178466796875
pair_073,R2,51,0.06743812561035156
pair_073,R3,51,0.06334900856018066
pair_074,R0,3,0.03442072868347168
pair_074,R1,3,0.10319161415100098
pair_074,R2,3,0.1196596622467041
pair_074,R3,3,0.09852218627929688
pair_075,R0,-1,0.03199648857116699
pair_075,R1,9,0.06331777572631836
pair_075,R2,9,0.05792975425720215
pair_075,R3,68,0.06435751914978027
pair_076,R0,3,0.02593255043029785
pair_076,R1,3,0.06586742401123047
pair_076,R2,39,0.05736136436462402
pair_076,R3,39,0.05852985382080078
pair_077,R0,3,0.08554553985595703
pair_077,R1,3,0.14207243919372559
pair_077,R2,3,0.11080217361450195
pair_077,R3,7,0.22415614128112793
pair_078,R0,5,0.03078913688659668
pair_078,R1,5,0.0787811279296875
pair_078,R2,5,0.06568503379821777
pair_078,R3,36,0.05309176445007324
pair_079,R0,1,0.022338151931762695
pair_079,R1,1,0.07611680030822754
pair_079,R2,11,0.05505847930908203
pair_079,R3,11,0.0555722713470459
pair_080,R0,1,0.07648301124572754
pair_080,R1,1,0.09314680099487305
