pair_id,candidate_a,candidate_b,rank_a,rank_b,score_a,score_b,delta_score,delta_corr,delta_psr,delta_context128,delta_context_combined,delta_neigh,delta_gradient,delta_phase,delta_center,delta_family,label
pair_001,GT,Rank_12,1,12,0.9393008501952909,0.022765854761775874,0.916534995433515,0.030816078186035156,0,-0.02259089945999926,-0.002639060425978279,0.02108493447303772,0.044891357421875,0.0,-69.78839285721031,0.0,1
pair_001,GT,Rank_13,1,13,0.9393008501952909,0.02143138552098904,0.9178694646743019,0.05637079477310181,0,0.0327777491531569,0.020254135822673547,0.02168433368206024,0.06813663244247437,0.0,-60.25383037201911,0.0,1
pair_001,GT,Rank_14,1,14,0.9393008501952909,0.02019714953566497,0.9191037006596259,0.08930009603500366,0,0.1066235682708141,0.027767617784657084,0.05729381740093231,0.11579716205596924,0.0,62.968234410574425,0.0,1
pair_001,GT,Rank_15,1,15,0.9393008501952909,0.015908862876384013,0.9233919873189068,0.07055765390396118,0,0.027093594838722423,0.010511921398660529,0.010566756129264832,0.08420652151107788,0.0,1.9844195933400783,0.0,1
pair_001,GT,Rank_16,1,16,0.9393008501952909,0.014484055758326604,0.9248167944369643,0.22001343965530396,0,0.1615392142132055,0.06629948602880487,0.11816726624965668,0.17593425512313843,0.0,52.11460179128308,0.0,1
pair_001,GT,Rank_17,1,17,0.9393008501952909,0.014309163523322068,0.9249916866719687,0.07418638467788696,0,-0.010810901617223534,0.006564233850507417,0.01558065414428711,0.09824812412261963,0.0,-20.03563454843706,0.0,1
pair_001,GT,Rank_18,1,18,0.9393008501952909,0.0138739477938021,0.9254269024014887,0.21821951866149902,0,0.21912462129435362,0.14029357686103427,0.15057794749736786,0.179610013961792,0.0,41.22430528629637,0.0,1
pair_001,GT,Rank_19,1,19,0.9393008501952909,0.012585775551870121,0.9267150746434207,0.07374364137649536,0,-0.015103839546125042,-0.002190803696747845,0.03889681398868561,0.07402408123016357,0.0,-40.23477481910007,0.0,1
pair_001,GT,Rank_20,1,20,0.9393008501952909,0.011160592846111246,0.9281402573491796,0.0721278190612793,0,0.11948456343485647,0.0374688346273484,0.012623578310012817,0.08794623613357544,0.0,1.5503849839121528,0.0,1
pair_003,GT,Rank_1,105,1,0.0014671849147112118,0.21380722888656947,-0.21234004397185827,0.007498264312744141,0,0.004947569314260991,0.009744017522111736,0.04095546901226044,0.01788991689682007,0.037500000000000006,108.5433315993987,-0.305,1
pair_003,GT,Rank_2,105,2,0.0014671849147112118,0.19535414611923302,-0.1938869612045218,-0.007453858852386475,0,-0.010514807509812485,-0.005858127175854433,0.03589479625225067,-0.028531193733215332,0.075,89.17626551894509,-0.305,1
pair_003,GT,Rank_3,105,3,0.0014671849147112118,0.07647733623627884,-0.07501015132156763,0.008436858654022217,0,0.0033144917729788226,0.004852315995752532,0.03388674557209015,0.0228765606880188,0.075,92.94062720989311,-0.305,1
pair_003,GT,Rank_4,105,4,0.0014671849147112118,0.0506798771867397,-0.049212692272028485,-0.006027102470397949,0,-0.008935778265074412,-0.004993158126165076,-0.00032278895378112793,-0.019207417964935303,0.0314145877436858,84.62843178058458,-0.305,1
pair_003,GT,Rank_5,105,5,0.0014671849147112118,0.04285353388589661,-0.0413863489711854,0.002665996551513672,0,0.0004487197694816869,0.0012477721740953296,0.0362248420715332,-0.0003421902656555176,-0.004616460960662205,60.658057004649294,0.0,1
pair_003,GT,Rank_6,105,6,0.0014671849147112118,0.031688568003945705,-0.030221383089234492,-0.001886129379272461,0,-0.009376430864738827,-0.0074022029416969115,0.023455947637557983,-0.0101127028465271,0.075,98.92966720596064,-0.305,1
pair_003,GT,Rank_7,105,7,0.0014671849147112118,0.030992573208741298,-0.029525388294030085,0.0067490339279174805,0,0.006147845568419186,0.012031838825241836,0.01755918562412262,0.019535839557647705,0.0,88.51812927376615,-0.305,1
pair_003,GT,Rank_8,105,8,0.0014671849147112118,0.030005138885078244,-0.02853795397036703,0.00941324234008789,0,0.008964558037092507,0.013284008708288608,0.04829603433609009,0.0201570987701416,0.075,86.23250682759269,-0.305,1
pair_003,GT,Rank_9,105,9,0.0014671849147112118,0.02774213628071574,-0.026274951366004527,0.008922755718231201,0,0.006342727190896014,0.008506987105969976,0.007015809416770935,0.028090953826904297,0.0314145877436858,69.48607268724285,-0.305,1
pair_003,GT,Rank_10,105,10,0.0014671849147112118,0.027125193371262388,-0.025658008456551175,0.013160169124603271,0,0.015228799755762301,0.017390234266382865,0.03608320653438568,0.03285104036331177,0.0314145877436858,100.84482658240282,-0.305,1
pair_003,GT,Rank_11,105,11,0.0014671849147112118,0.02313007249434669,-0.021662887579635477,-0.00851297378540039,0,-0.01278712828946782,-0.00606588265395458,0.02316451072692871,-0.022061824798583984,0.037500000000000006,75.23478072648669,-0.305,1
pair_003,GT,Rank_12,105,12,0.0014671849147112118,0.022714198933156935,-0.021247014018445722,-0.006218433380126953,0,-0.007939523587980224,-0.006769941312216088,-0.00325794517993927,-0.025938987731933594,0.075,61.610480359231516,-0.305,1
pair_003,GT,Rank_13,105,13,0.0014671849147112118,0.022254681891292365,-0.020787496976581152,-0.0032096505165100098,0,-0.0043496339662807415,-0.002498979249973221,0.03505612909793854,-0.01218348741531372,0.014791827170100497,85.07864138853748,-0.305,1
pair_003,GT,Rank_14,105,14,0.0014671849147112118,0.020879625133273298,-0.019412440218562085,-0.007056474685668945,0,-0.009589802499737066,-0.005682973912570777,-0.004268616437911987,-0.020206570625305176,0.0314145877436858,64.25400971805345,-0.305,1
pair_003,GT,Rank_15,105,15,0.0014671849147112118,0.020771742439413477,-0.019304557524702264,0.0036743879318237305,0,0.0003778248649257687,0.0012975767579650466,0.027966752648353577,0.011232852935791016,0.0,67.52218793034609,-0.305,1
pair_003,GT,Rank_16,105,16,0.0014671849147112118,0.020712521137172337,-0.019245336222461124,-0.0056247711181640625,0,-0.009791314647925153,-0.006786092583471071,0.020209774374961853,-0.013018012046813965,0.075,25.48470198728424,-0.305,1
pair_003,GT,Rank_17,105,17,0.0014671849147112118,0.01867527834212062,-0.017208093427409407,0.006337463855743408,0,0.004152082958876369,0.006842416071353941,0.044671013951301575,0.013821244239807129,0.075,70.78742500183775,-0.305,1
pair_003,GT,Rank_18,105,18,0.0014671849147112118,0.017708409172579476,-0.016241224257868263,0.013925671577453613,0,0.014964900860583885,0.013451108574825787,0.009447574615478516,0.03182721138000488,0.0,59.2831799301421,-0.305,1
pair_003,GT,Rank_19,105,19,0.0014671849147112118,0.017624508710669912,-0.0161573237959587,0.01637357473373413,0,0.015968736106389936,0.021337833129256856,0.008712783455848694,0.045039474964141846,-0.004616460960662205,43.74755230734553,-0.305,1
pair_003,GT,Rank_20,105,20,0.0014671849147112118,0.017338928255489102,-0.01587174334077789,0.008669078350067139,0,0.006173819959862326,0.006549080247954975,0.01150926947593689,0.02215743064880371,0.075,41.45342916775243,-0.305,1
pair_004,GT,Rank_1,26,1,0.0073734514711256,0.8336105827711408,-0.8262371313000152,-0.08883547782897949,0,-0.09373743119653455,0.0824273510794169,-0.039773418335244115,-0.1984269618988037,0.1162132317597294,-60.80855490286467,0.0,1
pair_004,GT,Rank_2,26,2,0.0073734514711256,0.8040903018532356,-0.79671685038211,-0.08696311712265015,0,-0.10731544862695586,0.06772765206024023,-0.02944060298614201,-0.15960842370986938,0.1162132317597294,-34.82886207017228,0.0,1
